run_number,UDET_bias,LDET_bias,HV,MAIN,UDET,date,start_time,end_time,ExB,UDET_armor,UDET_ring,LDET_armor,UDET_leakage,LDET_leakage
8859,300.0,300.0,27.0,137.0,137.0,2025-10-31,18:16:09,18:16:07,-1499.0457142857142,134.2904751406515,120.01843372589262,130.10432992597515,0.007316443000000001,35.75127
8625,300.0,300.0,27.0,137.0,137.0,2025-10-13,16:33:27,16:33:25,-1499.4674868189807,134.4688670188869,119.99472216601784,129.76065221715857,0.007238169,36.03508
8684,300.0,300.0,27.0,137.0,137.0,2025-10-20,15:31:19,15:31:18,-1499.1981981981985,134.44525251458845,120.01627147402752,130.00336321445124,0.008923826999999999,36.537490000000005
8832,300.0,300.0,27.0,137.0,137.0,2025-10-29,23:34:28,23:34:26,-1499.2408163265304,134.32606654749844,119.99898310254636,130.05487915628774,0.008216922,35.5471
8624,300.0,300.0,27.0,137.0,137.0,2025-10-13,15:59:23,15:59:21,-1499.4727592267136,134.47156292784447,119.98622297773174,129.7749651645092,0.007236299,36.049690000000005
8630,300.0,300.0,27.0,137.0,137.0,2025-10-13,19:19:59,19:19:57,-1499.4877250409165,134.47441718869092,120.00667365469583,129.82131609342608,0.0072051269999999995,35.98128
8683,300.0,300.0,27.0,137.0,137.0,2025-10-20,14:54:54,14:54:52,-1499.162037037037,134.44163214485602,120.02141941718337,129.988356063878,0.009086214,36.62324
8689,300.0,300.0,27.0,137.0,137.0,2025-10-20,18:11:56,18:11:54,-1499.1191709844559,134.4521552109137,120.01609217946121,129.98618880080252,0.008499406,36.34837
8834,300.0,300.0,27.0,137.0,137.0,2025-10-29,00:04:50,00:04:48,-1499.2596899224807,134.32538073335715,119.9968995620955,130.05316899248945,0.008187085,35.51723
8840,300.0,300.0,27.0,137.0,137.0,2025-10-30,15:42:13,15:42:11,-1499.0061728395062,134.30119454626944,120.00773125068814,130.0425485804461,0.007635614000000001,35.54381
8637,300.0,300.0,27.0,137.0,137.0,2025-10-13,22:35:11,22:35:09,-1499.1133004926107,134.4721426675486,119.99797082945358,129.8790640524768,0.007173916999999999,35.9475
8694,300.0,300.0,27.0,137.0,137.0,2025-10-20,20:51:57,20:51:55,-1499.0,134.43930468147184,119.98949196897907,129.94697578190022,0.008261979000000001,36.232490000000006
8860,300.0,300.0,27.0,137.0,137.0,2025-10-31,18:46:25,18:46:23,-1499.0,134.2941607963748,120.01666682173565,130.09714049568086,0.007324105,35.770179999999996
8654,300.0,300.0,27.0,137.0,137.0,2025-10-14,20:17:29,20:17:27,-1499.0357142857142,134.46448202477882,119.99214988616578,129.96049022674558,0.007063241,35.962790000000005
8708,300.0,300.0,27.0,137.0,137.0,2025-10-21,19:13:16,19:13:14,-1499.0,134.46256113736825,119.99450473694141,129.9535796976535,0.007596838000000001,35.96627
8854,300.0,300.0,27.0,137.0,137.0,2025-10-31,14:56:19,14:56:17,-1499.0119047619046,134.2725678232755,120.01132738619243,130.0717964714737,0.007370547,35.72035
8657,300.0,300.0,27.0,137.0,137.0,2025-10-14,22:00:16,22:00:14,-1499.0119760479045,134.45845599244967,120.00616936143395,129.97302644149116,0.007054054000000001,35.96488
8699,300.0,300.0,27.0,137.0,137.0,2025-10-21,14:25:47,14:25:45,-1499.0061349693249,134.45332853735948,119.99238999529581,129.98392071255105,0.007672976999999999,35.97459
8824,300.0,300.0,27.0,137.0,137.0,2025-10-29,19:17:27,19:17:26,-1499.3495145631066,134.33189265253566,120.00900612550059,130.09605144759985,0.009061452,35.73297
8656,300.0,300.0,27.0,137.0,137.0,2025-10-14,21:26:15,21:26:13,-1499.0176470588235,134.45581353229022,120.0005967513375,129.9697212945847,0.0070490380000000005,35.929970000000004
8710,300.0,300.0,27.0,137.0,137.0,2025-10-21,20:23:44,20:23:42,-1499.0224719101127,134.4560785601216,119.99948415448587,129.98485383042342,0.007583038,35.987559999999995
8856,300.0,300.0,27.0,137.0,137.0,2025-10-31,16:07:39,16:39:37,-1499.1240310077521,134.27762338597623,120.01223177652588,130.08845675989912,0.007324766,35.76725
8648,300.0,300.0,27.0,137.0,137.0,2025-10-14,16:38:05,16:38:03,-1499.3898734177214,134.46274888862683,119.99510366939803,129.86425853738308,0.007083307,35.96747
8715,300.0,300.0,27.0,137.0,137.0,2025-10-22,13:53:49,13:53:47,-1499.0350877192984,134.4386942646291,120.00465036146713,129.9964828491211,0.007359941,35.98603
8846,300.0,300.0,27.0,137.0,137.0,2025-10-30,18:54:23,18:54:21,-1499.0,134.30520258451764,120.00062027312158,130.0603445852446,0.007590647,35.63845
8653,300.0,300.0,27.0,137.0,137.0,2025-10-14,19:45:01,19:44:59,-1499.0348837209306,134.4672774141058,120.00384427526316,129.95909830729167,0.007069388,35.94702
8707,300.0,300.0,27.0,137.0,137.0,2025-10-21,18:39:51,18:39:49,-1499.0227272727273,134.46482741916486,120.00142080052395,130.02152650483524,0.007607178000000001,35.972840000000005
8853,300.0,300.0,27.0,137.0,137.0,2025-10-31,14:22:32,14:22:30,-1499.0406976744187,134.2724281216845,120.00267518596884,130.0676870690771,0.007340256999999999,35.81191
8645,300.0,300.0,27.0,137.0,137.0,2025-10-14,15:04:38,15:04:36,-1499.0282485875707,134.465230741955,120.01176212855749,129.94928973189025,0.007077287,35.950959999999995
8698,300.0,300.0,27.0,137.0,137.0,2025-10-21,13:51:41,13:51:39,-1499.0118343195263,134.45449747024946,120.00366339648556,130.0044481760048,0.007684033000000001,35.99501
8858,300.0,300.0,27.0,137.0,137.0,2025-10-31,17:47:12,17:47:10,-1499.0967741935485,134.28601666350863,120.02000237460159,130.097236264731,0.007331103,35.814890000000005
8658,300.0,300.0,27.0,137.0,137.0,2025-10-14,22:29:24,22:29:22,-1499.0662983425416,134.46096476386575,120.0036063474767,129.95342392519294,0.007051914,35.95838
8711,300.0,300.0,27.0,137.0,137.0,2025-10-21,20:56:04,20:56:02,-1499.0233918128656,134.45577518756573,120.00239051305333,129.98684199351186,0.00756796,35.990159999999996
8831,300.0,300.0,27.0,137.0,137.0,2025-10-29,23:06:13,23:06:11,-1499.0,134.32741864363751,119.99715866887956,130.05928785864435,0.00826583,35.55185
8623,300.0,300.0,27.0,137.0,137.0,2025-10-13,15:28:08,15:28:06,-1499.487212276215,134.4703573416503,119.99834745457399,129.79744109474277,0.007248515,36.14913
8652,300.0,300.0,27.0,137.0,137.0,2025-10-14,19:09:37,19:09:35,-1499.0210526315786,134.4638286459035,120.01844761289401,129.95704039880786,0.007067779000000001,35.9879
8682,300.0,300.0,27.0,137.0,137.0,2025-10-20,14:29:21,14:29:19,-1499.232283464567,134.43304984451186,120.02258894178604,129.97891457361658,0.009310235,36.76867
8706,300.0,300.0,27.0,137.0,137.0,2025-10-21,18:08:13,18:08:11,-1499.0059171597634,134.46307075940646,120.0102636080522,130.03456083636416,0.007613071,35.98206
8835,300.0,300.0,27.0,137.0,137.0,2025-10-30,00:43:57,00:43:55,-1499.1658536585367,134.32486723015109,120.00012764068971,130.0489669401119,0.008139994000000001,35.55169
8850,300.0,300.0,27.0,137.0,137.0,2025-10-30,21:24:55,21:24:53,-1499.2622377622379,134.3032026436334,119.99263108529816,130.049368624494,0.007551695,35.59048
8629,300.0,300.0,27.0,137.0,137.0,2025-10-13,18:47:55,18:47:53,-1499.4992412746585,134.4737447977652,120.00976135103943,129.81717484935484,0.0072220190000000005,36.09953
8649,300.0,300.0,27.0,137.0,137.0,2025-10-14,17:09:51,17:42:42,-1499.03367003367,134.4607441570742,119.99934919641373,129.93180567811498,0.0070810180000000006,35.962720000000004
8688,300.0,300.0,27.0,137.0,137.0,2025-10-20,17:39:29,17:39:27,-1499.1650485436896,134.45064601898193,120.01635366439821,130.01288151395494,0.008563389,36.40997
8713,300.0,300.0,27.0,137.0,137.0,2025-10-21,21:57:51,21:57:49,-1499.0567010309278,134.45647199121535,120.0076823860272,129.9901914872677,0.00755047,35.990390000000005
8716,300.0,300.0,27.0,137.0,137.0,2025-10-22,14:26:33,14:26:31,-1499.0058479532165,134.4412216549828,120.0088761284238,130.0071595509847,0.007352572,35.974140000000006
8841,300.0,300.0,27.0,137.0,137.0,2025-10-30,16:13:42,16:13:40,-1499.0118343195263,134.30230972141896,120.00591557697183,130.05136108398438,0.007628809,35.61081
8845,300.0,300.0,27.0,137.0,137.0,2025-10-30,18:21:43,18:21:41,-1499.0,134.30580258010022,120.00700263401971,130.06315027625814,0.007610913,35.59691
8636,300.0,300.0,27.0,137.0,137.0,2025-10-13,22:02:59,22:02:57,-1499.1336633663364,134.47336474004783,120.00399080312476,129.87016873068652,0.007171188,36.02709
8693,300.0,300.0,27.0,137.0,137.0,2025-10-20,20:20:24,20:20:22,-1499.0121212121212,134.4438036002365,119.9830130782782,129.93399997369428,0.008303122,36.285
8861,300.0,300.0,27.0,137.0,137.0,2025-10-31,19:19:19,19:19:17,-1499.0,134.29634309523178,120.01038556995958,130.0955036576972,0.007313711999999999,35.88613
8721,300.0,300.0,27.0,137.0,137.0,2025-10-22,17:17:05,17:17:03,-1499.3234323432346,134.44720240463442,120.00912590497806,130.01398044162326,0.007334726999999999,36.00057
8827,300.0,300.0,27.0,137.0,137.0,2025-10-29,20:50:57,20:50:55,-1499.365625,134.3270066314921,119.99925957565495,130.07201407400615,0.008476057,35.696529999999996
8865,300.0,300.0,27.0,137.0,137.0,2025-10-31,21:38:18,21:38:16,-1499.1991150442475,134.3001588107904,120.00695914569286,130.07511607710137,0.007301574,35.809709999999995
8622,300.0,300.0,27.0,137.0,137.0,2025-10-13,14:39:58,15:02:36,-1499.4172661870505,134.46334662273608,119.9943595458543,129.79436457922702,0.007278982,36.11331
8681,300.0,300.0,27.0,137.0,137.0,2025-10-20,13:49:55,13:49:53,-1499.1643192488266,134.41947929476515,120.01612375518421,129.9614405597382,0.009718971,36.89862
8628,300.0,300.0,27.0,137.0,137.0,2025-10-13,18:15:42,18:15:41,-1499.4379084967318,134.47286450891198,120.00616137941772,129.80480305199484,0.007210739,36.00671
8687,300.0,300.0,27.0,137.0,137.0,2025-10-20,17:08:32,17:08:30,-1499.2052401746726,134.44882961329571,120.01551388519738,130.0184697850853,0.008625726,36.40634
8842,300.0,300.0,27.0,137.0,137.0,2025-10-30,16:47:08,16:47:06,-1499.1128205128205,134.301409904499,119.9998230399039,130.05628801027166,0.007623257,35.59458
8635,300.0,300.0,27.0,137.0,137.0,2025-10-13,21:32:53,21:32:51,-1499.3284883720928,134.47376306870405,120.00536341050093,129.8587420625842,0.007185499000000001,36.01448
8692,300.0,300.0,27.0,137.0,137.0,2025-10-20,19:51:44,19:51:42,-1499.0121212121212,134.45070013036872,119.99261946278841,129.91164331528748,0.008354238,36.302929999999996
8862,300.0,300.0,27.0,137.0,137.0,2025-10-31,19:56:42,19:56:41,-1499.0,134.29743641820448,120.00955903001606,130.0864981598705,0.007310549,35.78717
8626,300.0,300.0,27.0,137.0,137.0,2025-10-13,16:49:11,17:21:14,-1499.4727891156463,134.46947533618444,120.00194146167273,129.75992384803095,0.00723823,36.0808
8651,300.0,300.0,27.0,137.0,137.0,2025-10-14,18:46:27,18:46:25,-1499.0601092896177,134.46130601622218,120.0032104382412,129.95317711020417,0.007065042,36.00656
8685,300.0,300.0,27.0,137.0,137.0,2025-10-20,15:41:06,16:11:22,-1499.1386138613861,134.44704944629387,120.0146178259638,130.0106354491602,0.008799841999999999,36.499140000000004
8705,300.0,300.0,27.0,137.0,137.0,2025-10-21,17:15:25,17:46:33,-1499.0233918128656,134.45766262317213,120.00652228058658,130.02050340203414,0.007623092,35.96905
8837,300.0,300.0,27.0,137.0,137.0,2025-10-30,13:45:23,14:15:24,-1499.1435643564355,134.29930038260937,119.9925780523391,130.05190105299684,0.007667762,35.56503
8849,300.0,300.0,27.0,137.0,137.0,2025-10-30,20:32:14,21:02:14,-1499.0,134.30624930466277,119.99544073177287,130.05239119967402,0.00756355,35.5778
8650,300.0,300.0,27.0,137.0,137.0,2025-10-14,18:10:52,18:10:50,-1499.0732984293193,134.46115771764997,120.0011166276603,129.949909794438,0.007070462,35.94767
8704,300.0,300.0,27.0,137.0,137.0,2025-10-21,17:12:08,17:12:06,-1499.0058823529412,134.45816176150328,119.99740077632133,130.00208603894268,0.007626888,36.1192
8844,300.0,300.0,27.0,137.0,137.0,2025-10-30,17:57:38,17:57:36,-1499.0,134.30354274402964,120.0119303693675,130.0622920529278,0.007601033,35.53337
8632,300.0,300.0,27.0,137.0,137.0,2025-10-13,20:05:41,20:36:51,-1499.4871794871797,134.4754148365762,120.00777319596277,129.8526193338548,0.007188028000000001,36.02234
8691,300.0,300.0,27.0,137.0,137.0,2025-10-20,18:55:05,19:25:43,-1499.0,134.45216937736566,120.00156715775448,129.95027948894773,0.008403226,36.32568
8843,300.0,300.0,27.0,137.0,137.0,2025-10-30,16:56:18,17:26:18,-1499.0,134.30122123087259,120.00803424959491,130.0591470838169,0.007610771999999999,35.549440000000004
8644,300.0,300.0,27.0,137.0,137.0,2025-10-14,14:08:56,14:39:01,-1499.029411764706,134.4654744842906,119.99423875220027,129.88087111537897,0.007085629,35.99601
8697,300.0,300.0,27.0,137.0,137.0,2025-10-21,12:44:28,13:14:28,-1499.0,134.44968397435744,120.00761717250364,129.9823775025892,0.007695473,36.04068
8863,300.0,300.0,27.0,137.0,137.0,2025-10-31,20:07:19,20:38:10,-1499.1280788177341,134.29931377030348,120.00989933431585,130.08255318716058,0.007309531,35.84921
8627,300.0,300.0,27.0,137.0,137.0,2025-10-13,17:23:34,17:54:24,-1499.3529411764707,134.47120567468494,120.00784015655519,129.79589095553342,0.007224029,36.089240000000004
8659,300.0,300.0,27.0,137.0,137.0,2025-10-14,22:36:24,23:06:54,-1499.095238095238,134.46124134571733,119.99863997267755,129.95763815016974,0.00704662,35.995259999999995
8686,300.0,300.0,27.0,137.0,137.0,2025-10-20,16:13:19,16:43:19,-1499.2044444444446,134.44756542423522,120.01597652009345,130.02178212459094,0.008713523,36.4651
8712,300.0,300.0,27.0,137.0,137.0,2025-10-21,21:02:21,21:35:38,-1499.042105263158,134.4558046651832,120.00228288625307,129.99136016046117,0.007555460999999999,35.98601
8838,300.0,300.0,27.0,137.0,137.0,2025-10-30,14:16:40,14:46:41,-1499.1650943396226,134.29821548086082,120.00081728479543,130.04522502364745,0.007665961999999999,35.644040000000004
8718,300.0,300.0,27.0,137.0,137.0,2025-10-22,15:13:03,15:43:03,-1499.0,134.4440872757523,120.00421396891278,130.02883999803743,0.007350581,35.98579
8830,300.0,300.0,27.0,137.0,137.0,2025-10-29,22:06:41,22:39:21,-1499.0167597765362,134.32920431207728,119.9969575493424,130.0596398586697,0.008292779,35.668409999999994
8717,300.0,300.0,27.0,137.0,137.0,2025-10-22,14:40:19,15:10:19,-1499.0062111801242,134.44380290472685,120.00621488201084,130.02236698906202,0.007376692,35.99783
8825,300.0,300.0,27.0,137.0,137.0,2025-10-29,19:21:35,19:51:36,-1499.358024691358,134.33264053876127,120.00048494101758,130.09331698533964,0.008708999,35.66992
8864,300.0,300.0,27.0,137.0,137.0,2025-10-31,20:39:37,21:10:59,-1499.1659192825114,134.30004061744327,120.00280565534321,130.08530137489123,0.007307549,35.83633
8720,300.0,300.0,27.0,137.0,137.0,2025-10-22,16:18:29,16:50:08,-1499.0280898876404,134.4451963068766,120.00300410147487,130.02888303284251,0.007329149,36.64413
8826,300.0,300.0,27.0,137.0,137.0,2025-10-29,19:53:08,20:23:09,-1499.3863636363635,134.32968963319388,119.99416964326923,130.08420205465177,0.008578485,36.42743
8857,300.0,300.0,27.0,137.0,137.0,2025-10-31,16:42:53,17:17:46,-1499.0628019323672,134.28150196648465,120.01471842819019,130.0944475809733,0.007321745,36.35307
8719,300.0,300.0,27.0,137.0,137.0,2025-10-22,15:45:26,16:15:26,-1499.2699619771865,134.4450407963173,120.00369262695312,130.0408133444428,0.007343731,36.53752
8829,300.0,300.0,27.0,137.0,137.0,2025-10-29,21:34:02,22:04:47,-1499.1681818181821,134.32839794205572,120.00608122436223,130.06130110031054,0.008342200000000001,36.121179999999995
