Pixel,run_numbers,Source,Centered 
32,8637,Bi-207-8890 W8-435,No
32,8654,Bi-207-8890 W8-435,Yes
32,8694,Bi-207-8890 W8-435,No
32,8708,Bi-207-8890 W8-435,No
32,8854,Bi-207-8890 W8-435,No
32,8860,Bi-207-8890 W8-435,No
37,8648,Bi-207-9176 Y2-743,Yes
37,8715,Bi-207-9176 Y2-743,No
37,8846,Bi-207-9176 Y2-743,Yes
39,8637,Bi-207-9177 Y2-744,No
39,8653,Bi-207-9177 Y2-744,Yes
39,8694,Bi-207-9177 Y2-744,No
39,8707,Bi-207-9177 Y2-744,Yes
39,8853,Bi-207-9177 Y2-744,Yes
39,8860,Bi-207-9177 Y2-744,No
40,8624,Bi-207-9177 Y2-744,No
40,8648,Bi-207-9177 Y2-744,Yes
40,8683,Bi-207-9177 Y2-744,No
40,8715,Bi-207-9177 Y2-744,Yes
40,8834,Bi-207-9177 Y2-744,No
40,8846,Bi-207-9177 Y2-744,Yes
41,8645,Bi-207-8890 X5-302,No
41,8698,Bi-207-8890 X5-302,No
41,8858,Bi-207-8890 X5-302,No
42,8658,Bi-207-8890 X5-302,No
42,8711,Bi-207-8890 X5-302,No
42,8831,Bi-207-8890 X5-302,No
43,8653,Bi-207-8890 W8-435,Yes
43,8707,Bi-207-8890 W8-435,Yes
43,8853,Bi-207-8890 W8-435,Yes
47,8623,Bi-207-9176 Y2-743,No
47,8652,Bi-207-9176 Y2-743,Yes
47,8682,Bi-207-9176 Y2-743,No
47,8706,Bi-207-9176 Y2-743,Yes
47,8835,Bi-207-9176 Y2-743,No
47,8850,Bi-207-9176 Y2-743,Yes
48,8623,Bi-207-9176 Y2-743,No
48,8629,Bi-207-9176 Y2-743,No
48,8649,Bi-207-9176 Y2-743,Yes
48,8682,Bi-207-9176 Y2-743,No
48,8688,Bi-207-9176 Y2-743,No
48,8713,Bi-207-9176 Y2-743,Yes
48,8716,Bi-207-9176 Y2-743,Yes
48,8835,Bi-207-9176 Y2-743,No
48,8841,Bi-207-9176 Y2-743,No
48,8845,Bi-207-9176 Y2-743,Yes
50,8636,Bi-207-9177 Y2-744,Yes
50,8693,Bi-207-9177 Y2-744,Yes
50,8861,Bi-207-9177 Y2-744,Yes
51,8623,Bi-207-9177 Y2-744,Yes
51,8682,Bi-207-9177 Y2-744,Yes
51,8835,Bi-207-9177 Y2-744,Yes
52,8629,Bi-207-9177 Y2-744,Yes
52,8643,Bi-207-8890 X5-302,No
52,8688,Bi-207-8890 X5-302,Yes
52,8696,Bi-207-8890 X5-302,No
52,8841,Bi-207-8890 X5-302,Yes
52,8855,Bi-207-8890 X5-302,No
52,8859,Bi-207-8890 X5-302,Yes
53,8625,Bi-207-8890 X5-302,No
53,8655,Bi-207-8890 X5-302,No
53,8684,Bi-207-8890 X5-302,No
53,8709,Bi-207-8890 X5-302,No
53,8721,Bi-207-8890 X5-302,No
53,8827,Bi-207-8890 X5-302,Yes
53,8832,Bi-207-8890 X5-302,No
53,8855,Bi-207-8890 X5-302,No
53,8865,Bi-207-8890 X5-302,Yes
54,8631,Bi-207-8890 X5-302,No
54,8636,Bi-207-8890 W8-435,Yes
54,8646,Bi-207-8890 X5-302,No
54,8693,Bi-207-8890 W8-435,Yes
55,8623,Bi-207-8890 W8-435,Yes
55,8682,Bi-207-8890 W8-435,Yes
55,8835,Bi-207-8890 W8-435,Yes
60,8622,Bi-207-9176 Y2-743,Yes
60,8681,Bi-207-9176 Y2-743,Yes
61,8628,Bi-207-9176 Y2-743,Yes
61,8687,Bi-207-9176 Y2-743,Yes
61,8842,Bi-207-9176 Y2-743,Yes
63,8652,Bi-207-9177 Y2-744,Yes
63,8692,Bi-207-9177 Y2-744,No
63,8706,Bi-207-9177 Y2-744,Yes
63,8850,Bi-207-9177 Y2-744,Yes
63,8862,Bi-207-9177 Y2-744,No
64,8622,Bi-207-9177 Y2-744,No
64,8649,Bi-207-9177 Y2-744,Yes
64,8681,Bi-207-9177 Y2-744,No
64,8713,Bi-207-9177 Y2-744,Yes
64,8716,Bi-207-9177 Y2-744,Yes
64,8845,Bi-207-9177 Y2-744,Yes
65,8654,Bi-207-8890 X5-302,Yes
65,8708,Bi-207-8890 X5-302,Yes
65,8854,Bi-207-8890 X5-302,Yes
66,8625,Bi-207-8890 X5-302,No
66,8635,Bi-207-8890 W8-435,Yes
66,8647,Bi-207-8890 W8-435,Yes
66,8684,Bi-207-8890 W8-435,No
66,8692,Bi-207-8890 W8-435,No
66,8828,Bi-207-8890 W8-435,Yes
66,8847,Bi-207-8890 W8-435,Yes
66,8862,Bi-207-8890 W8-435,Yes
67,8622,Bi-207-8890 W8-435,No
67,8652,Bi-207-8890 W8-435,Yes
67,8681,Bi-207-8890 W8-435,No
67,8706,Bi-207-8890 W8-435,Yes
67,8850,Bi-207-8890 W8-435,Yes
72,8651,Bi-207-9176 Y2-743,Yes
72,8705,Bi-207-9176 Y2-743,Yes
72,8849,Bi-207-9176 Y2-743,Yes
73,8650,Bi-207-9176 Y2-743,Yes
73,8704,Bi-207-9176 Y2-743,Yes
73,8844,Bi-207-9176 Y2-743,Yes
75,8635,Bi-207-9177 Y2-744,No
75,8692,Bi-207-9177 Y2-744,No
75,8862,Bi-207-9177 Y2-744,No
76,8622,Bi-207-9177 Y2-744,No
76,8651,Bi-207-9177 Y2-744,Yes
76,8681,Bi-207-9177 Y2-744,Yes
76,8705,Bi-207-9177 Y2-744,No
76,8849,Bi-207-9177 Y2-744,Yes
77,8628,Bi-207-9177 Y2-744,No
77,8637,Bi-207-9177 Y2-744,Yes
77,8650,Bi-207-9177 Y2-744,Yes
77,8687,Bi-207-9177 Y2-744,No
77,8694,Bi-207-9177 Y2-744,Yes
77,8704,Bi-207-9177 Y2-744,Yes
77,8842,Bi-207-9177 Y2-744,No
77,8844,Bi-207-9177 Y2-744,No
77,8860,Bi-207-9177 Y2-744,Yes
78,8624,Bi-207-8890 X5-302,Yes
78,8683,Bi-207-8890 X5-302,Yes
78,8834,Bi-207-8890 X5-302,Yes
79,8630,Bi-207-8890 X5-302,Yes
79,8651,Bi-207-8890 W8-435,Yes
79,8689,Bi-207-8890 X5-302,Yes
79,8705,Bi-207-8890 W8-435,Yes
79,8840,Bi-207-8890 X5-302,Yes
79,8849,Bi-207-8890 W8-435,Yes
84,8626,Bi-207-9176 Y2-743,Yes
84,8685,Bi-207-9176 Y2-743,Yes
84,8837,Bi-207-9176 Y2-743,Yes
85,8632,Bi-207-9176 Y2-743,No
85,8691,Bi-207-9176 Y2-743,No
85,8843,Bi-207-9176 Y2-743,No
86,8644,Bi-207-9177 Y2-744,No
86,8697,Bi-207-9177 Y2-744,No
87,8644,Bi-207-9177 Y2-744,No
87,8697,Bi-207-9177 Y2-744,No
87,8863,Bi-207-9177 Y2-744,No
88,8626,Bi-207-9177 Y2-744,No
88,8632,Bi-207-9177 Y2-744,Yes
88,8636,Bi-207-8890 X5-302,No
88,8685,Bi-207-9177 Y2-744,No
88,8691,Bi-207-9177 Y2-744,Yes
88,8837,Bi-207-9177 Y2-744,Yes
88,8843,Bi-207-9177 Y2-744,Yes
88,8861,Bi-207-8890 X5-302,No
89,8653,Bi-207-8890 X5-302,Yes
89,8707,Bi-207-8890 X5-302,Yes
89,8853,Bi-207-8890 X5-302,Yes
90,8644,Bi-207-8890 W8-435,Yes
90,8648,Bi-207-8890 X5-302,Yes
90,8697,Bi-207-8890 W8-435,Yes
90,8715,Bi-207-8890 X5-302,Yes
90,8846,Bi-207-8890 X5-302,Yes
90,8863,Bi-207-8890 W8-435,Yes
94,8627,Bi-207-9176 Y2-743,No
94,8659,Bi-207-9176 Y2-743,No
94,8686,Bi-207-9176 Y2-743,No
94,8712,Bi-207-9176 Y2-743,No
94,8838,Bi-207-9176 Y2-743,No
95,8830,Bi-207-9176 Y2-743,No
97,8717,Bi-207-9177 Y2-744,Yes
97,8825,Bi-207-9177 Y2-744,Yes
97,8864,Bi-207-9177 Y2-744,No
98,8627,Bi-207-9177 Y2-744,Yes
98,8659,Bi-207-9177 Y2-744,Yes
98,8686,Bi-207-9177 Y2-744,Yes
98,8712,Bi-207-9177 Y2-744,Yes
98,8838,Bi-207-9177 Y2-744,Yes
99,8636,Bi-207-8890 X5-302,No
99,8652,Bi-207-8890 X5-302,No
99,8693,Bi-207-8890 X5-302,No
99,8706,Bi-207-8890 X5-302,No
99,8718,Bi-207-9177 Y2-744,Yes
99,8830,Bi-207-9177 Y2-744,Yes
99,8850,Bi-207-8890 X5-302,No
99,8861,Bi-207-8890 X5-302,No
100,8623,Bi-207-8890 X5-302,Yes
100,8649,Bi-207-8890 X5-302,No
100,8652,Bi-207-8890 X5-302,No
100,8682,Bi-207-8890 X5-302,Yes
100,8706,Bi-207-8890 X5-302,No
100,8713,Bi-207-8890 X5-302,No
100,8716,Bi-207-8890 X5-302,No
100,8835,Bi-207-8890 X5-302,Yes
100,8845,Bi-207-8890 X5-302,No
101,8629,Bi-207-8890 X5-302,No
101,8649,Bi-207-8890 X5-302,No
101,8688,Bi-207-8890 X5-302,No
101,8717,Bi-207-8890 W8-435,Yes
101,8825,Bi-207-8890 W8-435,Yes
101,8841,Bi-207-8890 X5-302,No
101,8864,Bi-207-8890 W8-435,Yes
102,8627,Bi-207-8890 W8-435,Yes
102,8659,Bi-207-8890 W8-435,Yes
102,8686,Bi-207-8890 W8-435,Yes
102,8712,Bi-207-8890 W8-435,Yes
102,8838,Bi-207-8890 W8-435,Yes
107,8720,Bi-207-9177 Y2-744,Yes
107,8826,Bi-207-9177 Y2-744,Yes
107,8857,Bi-207-9177 Y2-744,Yes
108,8719,Bi-207-9177 Y2-744,Yes
108,8829,Bi-207-9177 Y2-744,Yes
109,8622,Bi-207-8890 X5-302,No
109,8651,Bi-207-8890 X5-302,No
109,8681,Bi-207-8890 X5-302,No
109,8705,Bi-207-8890 X5-302,No
109,8849,Bi-207-8890 X5-302,No
110,8628,Bi-207-8890 X5-302,Yes
110,8687,Bi-207-8890 X5-302,Yes
110,8842,Bi-207-8890 X5-302,Yes
117,8651,Bi-207-8890 X5-302,No
117,8705,Bi-207-8890 X5-302,No
117,8849,Bi-207-8890 X5-302,No
